id,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,s1,s2,date
2,518.67,1.3,48.07,519.73,2388.18,8161.62,8.488,0.03,396,2388,100,643.18,38.27,23.1046,1598.98,1427.83,14.62,21.61,551.25,2388.2,9089.3,0.0,0.0004,2022-03-22
2,518.67,1.3,48.02,520.0,2388.17,8157.59,8.5136,0.03,396,2388,100,643.67,38.67,23.198,1595.3,1421.8,14.62,21.61,551.86,2388.21,9094.94,0.001,0.0001,2022-03-23
2,518.67,1.3,47.98,520.09,2388.17,8163.22,8.5177,0.03,396,2388,100,643.82,38.41,23.0895,1605.46,1429.66,14.62,21.61,551.43,2388.16,9087.19,-0.0018,0.0004,2022-03-24
2,518.67,1.3,48.03,519.93,2388.17,8171.9,8.5206,0.03,395,2388,100,643.91,38.68,23.0609,1601.47,1424.78,14.62,21.61,552.45,2388.22,9092.92,0.0017,-0.0004,2022-03-25
2,518.67,1.3,47.99,519.72,2388.24,8160.69,8.5285,0.03,396,2388,100,643.44,38.49,23.0702,1597.61,1423.67,14.62,21.61,551.49,2388.19,9096.47,0.0,-0.0003,2022-03-26
2,518.67,1.3,48.13,519.66,2388.26,8164.77,8.5237,0.03,395,2388,100,643.64,38.51,23.046,1594.8,1426.95,14.62,21.61,551.16,2388.19,9096.6,0.0006,0.0005,2022-03-27
2,518.67,1.3,48.12,519.91,2388.21,8163.77,8.4889,0.03,396,2388,100,643.63,38.56,23.1462,1594.21,1422.89,14.62,21.61,551.84,2388.24,9101.42,-0.0061,0.0,2022-03-28
2,518.67,1.3,48.17,519.48,2388.15,8167.57,8.5377,0.03,398,2388,100,643.6,38.52,23.0385,1598.25,1424.36,14.62,21.61,551.44,2388.18,9089.18,-0.0009,-0.0003,2022-03-29
2,518.67,1.3,48.27,520.05,2388.18,8168.43,8.5149,0.03,397,2388,100,643.94,38.44,23.094,1598.56,1426.87,14.62,21.61,552.29,2388.23,9092.2,0.0012,0.0,2022-03-30
2,518.67,1.3,48.21,520.07,2388.2,8174.85,8.5199,0.03,398,2388,100,643.78,38.42,23.0358,1602.03,1429.67,14.62,21.61,551.46,2388.16,9084.13,0.0046,0.0002,2022-03-31
2,518.67,1.3,48.18,519.95,2388.21,8166.83,8.5291,0.03,395,2388,100,643.91,38.23,23.1196,1601.35,1430.04,14.62,21.61,551.96,2388.22,9089.87,-0.0006,0.0001,2022-04-01
2,518.67,1.3,48.27,519.91,2388.22,8164.83,8.5242,0.03,396,2388,100,643.67,38.39,23.1155,1596.84,1431.17,14.62,21.61,550.85,2388.2,9098.67,-0.0007,0.0004,2022-04-02
2,518.67,1.3,48.14,519.51,2388.22,8169.97,8.4932,0.03,395,2388,100,643.44,38.33,23.0169,1603.63,1429.57,14.62,21.61,551.61,2388.18,9102.01,-0.001,-0.0003,2022-04-03
2,518.67,1.3,48.12,519.81,2388.21,8175.57,8.5365,0.03,398,2388,100,643.85,38.43,23.0848,1608.5,1430.84,14.62,21.61,551.66,2388.2,9109.36,-0.0005,0.0006,2022-04-04
3,518.67,1.3,47.76,521.16,2388.13,8203.54,8.4458,0.03,393,2388,100,642.48,38.69,23.2144,1595.61,1415.88,14.62,21.61,553.16,2388.1,9131.44,0.0058,0.0002,2022-03-16
3,518.67,1.3,47.68,520.48,2388.09,8202.48,8.4779,0.03,394,2388,100,643.6,38.62,23.19,1594.41,1416.4,14.62,21.61,552.82,2388.06,9146.21,-0.0015,-0.0001,2022-03-17
3,518.67,1.3,47.89,521.51,2388.04,8204.85,8.4726,0.03,393,2388,100,643.11,38.67,23.0617,1594.78,1420.33,14.62,21.61,552.97,2388.12,9134.86,0.0022,0.0002,2022-03-18
3,518.67,1.3,47.58,521.34,2388.13,8209.22,8.4766,0.03,394,2388,100,643.0,38.64,23.1448,1597.51,1422.22,14.62,21.61,553.11,2388.13,9142.78,-0.0016,0.0,2022-03-19
3,518.67,1.3,47.81,520.78,2388.06,8209.0,8.5019,0.03,395,2388,100,643.09,38.74,23.0846,1601.99,1416.56,14.62,21.61,552.81,2388.09,9143.64,0.0007,-0.0003,2022-03-20
3,518.67,1.3,47.97,521.1,2388.09,8215.68,8.4846,0.03,396,2388,100,642.96,38.69,23.123,1601.94,1416.31,14.62,21.61,552.94,2388.09,9150.46,-0.0005,-0.0001,2022-03-21
3,518.67,1.3,47.79,520.98,2388.08,8218.07,8.5133,0.03,395,2388,100,642.9,38.52,23.1578,1598.82,1419.27,14.62,21.61,552.56,2388.04,9153.66,0.003,-0.0002,2022-03-22
3,518.67,1.3,47.97,520.47,2388.11,8223.46,8.4815,0.03,396,2388,100,643.38,38.68,23.147,1605.41,1415.96,14.62,21.61,551.95,2388.17,9149.93,0.0027,0.0004,2022-03-23
3,518.67,1.3,47.93,520.75,2388.1,8221.68,8.5141,0.03,395,2388,100,643.46,38.49,23.2036,1593.72,1422.59,14.62,21.61,552.04,2388.11,9154.65,-0.0012,0.0002,2022-03-24
3,518.67,1.3,47.9,520.19,2388.14,8230.54,8.4936,0.03,395,2388,100,643.55,38.52,23.1723,1602.9,1424.39,14.62,21.61,552.76,2388.13,9157.05,0.0016,-0.0001,2022-03-25
3,518.67,1.3,48.14,520.62,2388.13,8230.71,8.4758,0.03,395,2388,100,643.35,38.48,23.1829,1606.1,1428.52,14.62,21.61,553.34,2388.12,9159.3,-0.0015,-0.0003,2022-03-26
3,518.67,1.3,47.91,520.75,2388.15,8233.24,8.5011,0.03,395,2388,100,643.36,38.7,23.1225,1603.48,1419.33,14.62,21.61,551.57,2388.16,9170.51,-0.0011,-0.0003,2022-03-27
3,518.67,1.3,47.64,520.25,2388.06,8235.35,8.5219,0.03,396,2388,100,643.62,38.85,23.2086,1597.73,1426.38,14.62,21.61,552.89,2388.08,9168.78,-0.0017,-0.0004,2022-03-28
3,518.67,1.3,48.16,520.7,2388.11,8234.4,8.4763,0.03,394,2388,100,643.64,38.51,23.1498,1604.78,1417.29,14.62,21.61,552.16,2388.14,9174.85,0.0028,-0.0002,2022-03-29
3,518.67,1.3,47.84,520.02,2388.14,8234.96,8.5363,0.03,396,2388,100,643.46,38.53,23.0144,1602.86,1424.79,14.62,21.61,552.29,2388.13,9179.87,0.0034,-0.0005,2022-03-30
3,518.67,1.3,48.12,520.34,2388.14,8238.86,8.5066,0.03,396,2388,100,643.15,38.49,22.9909,1603.74,1424.17,14.62,21.61,551.47,2388.06,9172.76,-0.003,0.0004,2022-03-31
3,518.67,1.3,47.98,520.91,2388.12,8251.82,8.5245,0.03,396,2388,100,643.93,38.49,23.0656,1595.61,1438.51,14.62,21.61,551.93,2388.18,9185.88,-0.0008,0.0002,2022-04-01
3,518.67,1.3,48.1,520.19,2388.16,8249.86,8.5286,0.03,397,2388,100,643.68,38.37,23.0336,1601.21,1423.5,14.62,21.61,552.17,2388.13,9191.53,-0.0041,-0.0002,2022-04-02
3,518.67,1.3,48.38,520.14,2388.12,8253.84,8.5351,0.03,399,2388,100,643.66,38.57,23.1323,1606.5,1430.55,14.62,21.61,551.31,2388.19,9193.98,-0.001,0.0001,2022-04-03
3,518.67,1.3,48.09,519.53,2388.2,8255.34,8.5056,0.03,398,2388,100,643.51,38.4,22.9562,1604.8,1428.23,14.62,21.61,551.91,2388.14,9197.52,0.0012,0.0,2022-04-04
4,518.67,1.3,47.8,520.77,2388.15,8202.15,8.492,0.03,396,2388,100,643.6,38.68,23.2325,1595.73,1412.94,14.62,21.61,552.45,2388.12,9138.79,0.0023,0.0002,2022-03-16
4,518.67,1.3,47.74,520.85,2388.12,8204.3,8.49,0.03,396,2388,100,643.69,38.66,23.2471,1594.79,1416.71,14.62,21.61,552.21,2388.14,9133.85,0.002,-0.0003,2022-03-17
4,518.67,1.3,47.88,520.72,2388.06,8208.53,8.5017,0.03,395,2388,100,643.28,38.66,23.0502,1597.1,1417.89,14.62,21.61,552.65,2388.14,9129.92,0.0015,-0.0002,2022-03-18
4,518.67,1.3,47.61,520.53,2388.1,8208.18,8.4829,0.03,396,2388,100,642.87,38.66,23.1664,1598.3,1422.56,14.62,21.61,552.08,2388.12,9142.07,-0.0033,0.0,2022-03-19
4,518.67,1.3,47.85,520.61,2388.1,8212.15,8.4928,0.03,395,2388,100,643.09,38.52,23.2417,1600.79,1423.58,14.62,21.61,552.74,2388.08,9150.69,0.0021,-0.0003,2022-03-20
4,518.67,1.3,47.95,520.47,2388.14,8221.41,8.4826,0.03,396,2388,100,643.17,38.73,23.1571,1598.28,1419.52,14.62,21.61,552.39,2388.1,9143.78,0.0027,0.0004,2022-03-21
4,518.67,1.3,47.83,520.61,2388.11,8219.43,8.4822,0.03,395,2388,100,643.36,38.81,23.1426,1601.11,1427.72,14.62,21.61,552.62,2388.12,9149.82,0.0033,0.0003,2022-03-22
4,518.67,1.3,47.99,520.82,2388.12,8219.59,8.5026,0.03,396,2388,100,643.15,38.5,23.1635,1603.1,1424.69,14.62,21.61,552.77,2388.14,9155.26,0.0034,-0.0001,2022-03-23
4,518.67,1.3,47.86,520.28,2388.11,8221.61,8.4992,0.03,394,2388,100,643.38,38.67,23.1181,1606.48,1431.78,14.62,21.61,551.71,2388.17,9164.28,0.0006,0.0003,2022-03-24
4,518.67,1.3,48.0,520.52,2388.15,8223.02,8.5289,0.03,397,2388,100,643.6,38.55,23.0599,1604.11,1424.1,14.62,21.61,552.19,2388.18,9156.61,0.0014,0.0,2022-03-25
4,518.67,1.3,47.95,520.33,2388.15,8228.25,8.4966,0.03,398,2388,100,643.58,38.36,23.1739,1610.29,1425.23,14.62,21.61,551.7,2388.15,9163.18,0.0001,-0.0002,2022-03-26
4,518.67,1.3,47.95,520.24,2388.16,8230.94,8.4821,0.03,396,2388,100,643.34,38.57,23.1169,1597.16,1413.99,14.62,21.61,551.82,2388.11,9168.97,0.0004,-0.0002,2022-03-27
4,518.67,1.3,47.96,520.55,2388.17,8229.71,8.5069,0.03,395,2388,100,643.42,38.29,23.0709,1603.95,1429.48,14.62,21.61,551.77,2388.12,9166.16,0.0007,0.0,2022-03-28
4,518.67,1.3,48.08,520.17,2388.12,8239.91,8.5034,0.03,399,2388,100,644.5,38.47,23.0511,1602.97,1426.55,14.62,21.61,551.6,2388.12,9175.69,0.0034,0.0002,2022-03-29
4,518.67,1.3,48.04,520.07,2388.14,8242.61,8.5011,0.03,395,2388,100,643.44,38.39,23.0651,1608.22,1426.27,14.62,21.61,552.01,2388.12,9174.67,-0.001,0.0003,2022-03-30
4,518.67,1.3,48.19,520.12,2388.12,8246.77,8.5254,0.03,396,2388,100,643.27,38.47,23.118,1607.57,1429.22,14.62,21.61,551.91,2388.1,9184.41,-0.0031,0.0005,2022-03-31
4,518.67,1.3,48.21,520.26,2388.16,8241.99,8.4873,0.03,396,2388,100,643.45,38.55,23.1353,1608.24,1427.17,14.62,21.61,551.9,2388.13,9187.57,-0.0003,-0.0001,2022-04-01
4,518.67,1.3,48.08,519.6,2388.12,8253.53,8.5283,0.03,396,2388,100,643.69,38.49,23.0135,1603.04,1422.74,14.62,21.61,552.02,2388.14,9203.22,-0.0005,0.0005,2022-04-02
4,518.67,1.3,48.15,520.12,2388.17,8251.11,8.5462,0.03,398,2388,100,643.48,38.45,23.071,1602.23,1434.12,14.62,21.61,551.81,2388.16,9192.89,0.0006,0.0001,2022-04-03
4,518.67,1.3,48.15,519.84,2388.16,8259.42,8.5246,0.03,398,2388,100,644.53,38.44,23.1006,1612.11,1432.55,14.62,21.61,551.93,2388.13,9198.32,-0.0024,-0.0002,2022-04-04
5,518.67,1.3,47.85,520.57,2388.12,8197.41,8.4391,0.03,396,2388,100,643.14,38.55,23.0257,1596.58,1425.52,14.62,21.61,552.79,2388.14,9121.08,0.0004,0.0004,2022-03-16
5,518.67,1.3,47.72,520.49,2388.16,8195.27,8.4868,0.03,396,2388,100,643.59,38.67,23.125,1599.58,1423.26,14.62,21.61,551.47,2388.13,9130.2,-0.0031,0.0002,2022-03-17
5,518.67,1.3,47.82,520.42,2388.1,8191.41,8.4737,0.03,396,2388,100,643.71,38.61,23.239,1598.85,1419.15,14.62,21.61,551.81,2388.12,9128.7,-0.0013,-0.0001,2022-03-18
5,518.67,1.3,48.08,520.82,2388.16,8193.67,8.509,0.03,396,2388,100,643.59,38.48,23.1336,1602.52,1423.22,14.62,21.61,551.61,2388.11,9129.89,0.0032,-0.0004,2022-03-19
5,518.67,1.3,47.85,520.07,2388.18,8198.61,8.516,0.03,396,2388,100,643.3,38.38,23.0446,1591.58,1424.36,14.62,21.61,551.48,2388.11,9133.91,0.0043,-0.0005,2022-03-20
5,518.67,1.3,48.19,520.38,2388.16,8199.45,8.4968,0.03,396,2388,100,643.46,38.67,23.2145,1594.11,1428.03,14.62,21.61,551.73,2388.18,9134.42,-0.0015,-0.0003,2022-03-21
5,518.67,1.3,47.82,520.46,2388.09,8203.61,8.5036,0.03,396,2388,100,643.66,38.49,23.0656,1602.29,1431.89,14.62,21.61,551.4,2388.12,9129.24,0.0007,0.0005,2022-03-22
5,518.67,1.3,48.27,519.88,2388.16,8202.02,8.5263,0.03,395,2388,100,643.22,38.61,23.2326,1604.25,1424.27,14.62,21.61,552.21,2388.05,9122.22,0.0011,0.0004,2022-03-23
5,518.67,1.3,48.06,520.59,2388.11,8200.61,8.5105,0.03,396,2388,100,643.44,38.4,23.1169,1596.35,1427.69,14.62,21.61,552.5,2388.16,9137.48,0.0007,-0.0002,2022-03-24
5,518.67,1.3,48.05,520.12,2388.15,8203.36,8.539,0.03,397,2388,100,643.78,38.34,23.0195,1608.65,1420.14,14.62,21.61,551.42,2388.21,9136.26,-0.0018,-0.0003,2022-03-25
5,518.67,1.3,47.96,520.06,2388.11,8205.66,8.4948,0.03,396,2388,100,643.25,38.74,23.1449,1607.39,1425.28,14.62,21.61,552.24,2388.17,9129.69,0.0046,-0.0004,2022-03-26
5,518.67,1.3,48.13,520.63,2388.14,8201.38,8.495,0.03,396,2388,100,643.27,38.52,23.1152,1600.6,1421.13,14.62,21.61,552.07,2388.16,9133.37,0.0014,0.0005,2022-03-27
5,518.67,1.3,47.86,519.95,2388.23,8205.75,8.4983,0.03,395,2388,100,643.56,38.54,23.0929,1601.82,1424.81,14.62,21.61,552.49,2388.16,9134.01,-0.001,0.0001,2022-03-28
5,518.67,1.3,48.04,520.05,2388.15,8211.55,8.5201,0.03,397,2388,100,643.95,38.42,23.1361,1608.2,1421.15,14.62,21.61,551.57,2388.14,9140.04,-0.0013,-0.0003,2022-03-29
5,518.67,1.3,48.26,519.83,2388.19,8207.19,8.5297,0.03,397,2388,100,643.77,38.37,23.1132,1606.55,1425.39,14.62,21.61,551.7,2388.17,9149.72,0.004,-0.0005,2022-03-30
5,518.67,1.3,48.03,519.8,2388.1,8203.89,8.541,0.03,395,2388,100,643.8,38.35,23.0857,1605.53,1424.57,14.62,21.61,551.37,2388.16,9148.96,0.0028,-0.0003,2022-03-31
5,518.67,1.3,48.24,519.57,2388.14,8208.49,8.5254,0.03,398,2388,100,643.38,38.55,23.1621,1609.33,1434.4,14.62,21.61,552.35,2388.2,9147.43,0.0,-0.0002,2022-04-01
5,518.67,1.3,48.26,519.66,2388.17,8206.86,8.5292,0.03,397,2388,100,643.73,38.49,23.0566,1609.41,1430.25,14.62,21.61,551.55,2388.1,9147.65,0.0018,0.0001,2022-04-02
5,518.67,1.3,48.15,520.1,2388.14,8215.19,8.5196,0.03,397,2388,100,644.02,38.52,23.118,1608.65,1434.59,14.62,21.61,552.22,2388.15,9146.01,0.0033,-0.0002,2022-04-03
5,518.67,1.3,48.26,519.86,2388.16,8212.75,8.5209,0.03,397,2388,100,643.46,38.45,23.0296,1597.28,1430.74,14.62,21.61,550.77,2388.18,9157.05,0.0022,0.0003,2022-04-04
6,518.67,1.3,48.07,520.27,2388.23,8113.93,8.4835,0.03,394,2388,100,644.12,38.52,23.2095,1597.11,1426.68,14.62,21.61,552.08,2388.27,9032.33,-0.0002,-0.0001,2022-03-16
6,518.67,1.3,47.92,519.77,2388.31,8112.59,8.4852,0.03,396,2388,100,643.91,38.66,23.1057,1599.73,1425.87,14.62,21.61,551.35,2388.32,9029.79,0.0009,-0.0003,2022-03-17
6,518.67,1.3,48.09,520.44,2388.23,8112.98,8.5219,0.03,396,2388,100,643.82,38.69,23.1045,1601.73,1423.31,14.62,21.61,551.38,2388.25,9034.84,-0.0027,-0.0002,2022-03-18
6,518.67,1.3,48.07,520.31,2388.28,8115.76,8.4793,0.03,396,2388,100,643.18,38.34,23.1505,1593.7,1432.3,14.62,21.61,551.45,2388.26,9033.2,-0.0026,-0.0003,2022-03-19
6,518.67,1.3,48.05,519.93,2388.24,8111.88,8.4775,0.03,396,2388,100,643.45,38.6,23.1312,1597.11,1423.89,14.62,21.61,551.37,2388.26,9032.51,-0.0029,0.0002,2022-03-20
6,518.67,1.3,48.05,520.5,2388.24,8106.85,8.4756,0.03,394,2388,100,643.21,38.67,23.1942,1602.11,1426.34,14.62,21.61,551.65,2388.27,9032.1,0.0011,0.0004,2022-03-21
6,518.67,1.3,48.17,520.12,2388.27,8109.68,8.5266,0.03,396,2388,100,643.84,38.64,23.1005,1602.72,1427.35,14.62,21.61,551.53,2388.32,9035.16,0.0017,0.0003,2022-03-22
6,518.67,1.3,48.06,519.41,2388.25,8112.7,8.4994,0.03,395,2388,100,643.71,38.44,23.1595,1604.31,1423.22,14.62,21.61,551.47,2388.25,9035.85,0.001,0.0003,2022-03-23
6,518.67,1.3,48.21,520.17,2388.28,8114.14,8.4993,0.03,397,2388,100,643.5,38.52,23.0286,1590.96,1421.52,14.62,21.61,551.5,2388.27,9031.6,0.0,0.0002,2022-03-24
6,518.67,1.3,48.09,519.7,2388.31,8113.92,8.5091,0.03,395,2388,100,643.78,38.46,23.0738,1603.27,1424.84,14.62,21.61,551.24,2388.29,9032.87,-0.0025,0.0004,2022-03-25
6,518.67,1.3,48.11,519.37,2388.3,8106.25,8.5102,0.03,397,2388,100,643.58,38.4,23.1191,1607.63,1424.83,14.62,21.61,551.62,2388.33,9021.73,-0.0026,-0.0003,2022-03-26
6,518.67,1.3,48.06,519.81,2388.34,8110.86,8.4948,0.03,396,2388,100,643.76,38.48,23.1165,1598.73,1426.72,14.62,21.61,551.27,2388.31,9030.67,0.0038,-0.0002,2022-03-27
6,518.67,1.3,48.15,519.71,2388.32,8110.96,8.48,0.03,396,2388,100,643.44,38.5,23.1337,1603.07,1430.56,14.62,21.61,551.46,2388.28,9033.9,-0.0022,-0.0002,2022-03-28
6,518.67,1.3,48.34,519.84,2388.35,8107.33,8.5167,0.03,396,2388,100,644.0,38.63,22.9966,1596.51,1423.81,14.62,21.61,551.95,2388.32,9032.36,0.0035,-0.0004,2022-03-29
6,518.67,1.3,48.05,519.66,2388.31,8108.33,8.5294,0.03,396,2388,100,644.01,38.33,23.0273,1597.82,1430.47,14.62,21.61,551.7,2388.32,9035.7,0.001,0.0005,2022-03-30
6,518.67,1.3,48.07,519.42,2388.3,8110.1,8.4857,0.03,397,2388,100,643.52,38.58,22.9949,1598.05,1432.22,14.62,21.61,551.31,2388.25,9031.12,0.0022,0.0004,2022-03-31
6,518.67,1.3,48.21,519.5,2388.28,8110.79,8.5261,0.03,396,2388,100,643.78,38.45,23.1199,1603.37,1434.09,14.62,21.61,551.33,2388.35,9035.51,0.0022,0.0001,2022-04-01
6,518.67,1.3,48.27,519.8,2388.36,8108.26,8.5013,0.03,395,2388,100,644.01,38.25,22.9396,1603.59,1430.37,14.62,21.61,550.59,2388.31,9029.07,-0.0054,-0.0001,2022-04-02
6,518.67,1.3,48.21,519.03,2388.33,8109.59,8.5324,0.03,396,2388,100,643.76,38.51,23.0449,1602.69,1423.45,14.62,21.61,551.45,2388.29,9035.79,-0.002,0.0003,2022-04-03
6,518.67,1.3,48.21,518.98,2388.34,8102.82,8.5358,0.03,397,2388,100,643.47,38.42,22.9577,1600.63,1434.92,14.62,21.61,550.7,2388.34,9027.96,0.0014,-0.0004,2022-04-04
7,518.67,1.3,47.95,520.18,2388.18,8141.72,8.4763,0.03,395,2388,100,643.32,38.64,23.071,1597.45,1432.67,14.62,21.61,551.48,2388.22,9067.35,-0.0017,0.0,2022-03-16
7,518.67,1.3,47.95,520.26,2388.24,8151.52,8.5086,0.03,396,2388,100,643.14,38.46,23.1039,1603.37,1431.51,14.62,21.61,552.52,2388.18,9075.25,0.0013,-0.0002,2022-03-17
7,518.67,1.3,47.82,520.3,2388.23,8149.19,8.4831,0.03,394,2388,100,643.45,38.52,23.1649,1598.75,1420.94,14.62,21.61,551.63,2388.18,9069.47,-0.0007,-0.0005,2022-03-18
7,518.67,1.3,48.05,520.17,2388.16,8145.69,8.517000000000001,0.03,396,2388,100,643.5,38.51,22.9398,1607.7,1417.37,14.62,21.61,551.88,2388.16,9070.96,0.0016,0.0004,2022-03-19
7,518.67,1.3,47.94,520.26,2388.17,8150.13,8.5106,0.03,397,2388,100,643.11,38.55,23.1399,1601.18,1428.04,14.62,21.61,551.49,2388.19,9075.06,-0.0012,-0.0001,2022-03-20
7,518.67,1.3,47.92,519.86,2388.16,8150.09,8.5085,0.03,396,2388,100,644.0,38.6,23.1415,1596.94,1426.25,14.62,21.61,551.82,2388.2,9080.51,0.0027,-0.0001,2022-03-21
7,518.67,1.3,48.16,519.97,2388.2,8148.66,8.4742,0.03,395,2388,100,643.41,38.58,23.0662,1596.23,1433.13,14.62,21.61,552.23,2388.22,9075.19,0.0005,0.0002,2022-03-22
7,518.67,1.3,48.13,520.15,2388.21,8154.58,8.5149,0.03,396,2388,100,643.47,38.62,23.1767,1600.74,1424.71,14.62,21.61,551.26,2388.23,9084.92,0.0012,0.0002,2022-03-23
7,518.67,1.3,47.9,519.58,2388.24,8149.12,8.5117,0.03,397,2388,100,643.87,38.38,23.0795,1591.09,1427.14,14.62,21.61,552.06,2388.18,9080.02,-0.0043,-0.0001,2022-03-24
7,518.67,1.3,48.02,520.01,2388.23,8145.07,8.4859,0.03,396,2388,100,643.13,38.51,23.073,1598.89,1422.5,14.62,21.61,552.73,2388.21,9082.19,0.0017,0.0004,2022-03-25
